"passenger_count","trip_distance","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
1,9.78,1,28.5,0,0.5,8.71,5.54,0.3,43.55
1,9.4,1,27,0,0.5,8.3,5.54,0.3,41.64
2,15.93,1,52,0,0.5,11.67,5.54,0.3,70.01
2,7,1,21,0,0.5,3,5.54,0.3,30.34
1,18.1,1,52,0,0.5,11.67,5.54,0.3,70.01
1,8,1,23,0,0.5,6,5.54,0.3,35.34
1,11.48,1,33.5,0,0.5,7.97,5.54,0.3,47.81
1,9.6,1,29,0,0.5,7.07,5.54,0.3,42.41
1,10,1,29,0,0.5,7.05,5.54,0.3,42.39
1,9.08,1,26,0,0.5,6,5.54,0.3,38.34
2,18.88,1,52,0,0.5,14.58,5.54,0.3,72.92
2,7.9,1,27,0.5,0.5,6.75,5.54,0.3,40.59
1,13.02,1,37,0.5,0.5,1,5.54,0.3,44.84
1,9.2,1,31,0.5,0.5,7.55,5.54,0.3,45.39
1,3.23,1,11,0.5,0.5,5.35,5.54,0.3,23.19
1,4.51,1,16,0.5,0.5,4.57,5.54,0.3,27.41
2,11,1,35,0.5,0.5,7,5.54,0.3,48.84
1,14.68,1,44.5,0.5,0.5,5,5.54,0.3,56.34
1,2.4,1,6,0.5,0.5,2.2,0.05,0.3,9.55
2,8.13,1,50,0,0.5,6,10.5,0.3,67.3
1,8.3,1,27,0.5,0.5,6.77,5.54,0.3,40.61
1,11.56,1,34.5,0.5,0.5,3.33,5.54,0.3,44.67
2,10.18,1,32.5,0.5,0.5,7.87,5.54,0.3,47.21
1,12.95,1,37,0.5,0.5,13.15,5.54,0.3,56.99
1,7.32,1,26,0.5,0.5,5,5.54,0.3,37.84
2,8.43,1,32,0.5,0.5,7.77,5.54,0.3,46.61
1,10.66,1,33.5,0.5,0.5,3,5.54,0.3,43.34
2,13.1,1,37,0.5,0.5,8.75,5.54,0.3,52.59
1,3.93,1,14.5,0.5,0.5,4.27,5.54,0.3,25.61
1,10.28,1,32,0,0.5,7.67,5.54,0.3,46.01
1,5.96,1,21,0.5,0.5,5.57,5.54,0.3,33.41
1,13.4,1,40,0.5,0.5,5,5.54,0.3,51.84
1,7.5,1,22,0.5,0.5,5,5.54,0.3,33.84
2,3.57,1,50,0,0.5,15.32,10.5,0.3,76.62
2,5.11,1,16.5,0.5,0.5,5.84,5.54,0.3,29.18
1,12.32,1,37,0.5,0.5,5,5.54,0.3,48.84
1,9,1,27.5,0.5,0.5,3,5.54,0.3,37.34
2,8.6,1,27.5,0.5,0.5,6.85,5.54,0.3,41.19
2,9.2,1,27,0.5,0.5,2,5.54,0.3,35.84
3,8.91,1,25.5,0.5,0.5,4,2.54,0.3,33.34
1,12.05,1,36,0.5,0.5,8.57,5.54,0.3,51.41
1,2.57,1,10,0.5,0.5,3.37,5.54,0.3,20.21
3,9.39,1,27,0.5,0.5,8.46,5.54,0.3,42.3
2,9.2,1,26.5,0.5,0.5,2,2.54,0.3,32.34
2,7.7,1,24,0.5,0.5,6.15,5.54,0.3,36.99
1,21.11,1,52,0,0.5,11.67,5.54,0.3,70.01
1,14.7,1,40,0.5,0.5,9.35,5.54,0.3,56.19
1,18.78,1,52,0,0.5,10,5.54,0.3,68.34
1,15.7,1,52,0,0.5,11.66,5.54,0.3,70
1,17.2,1,48.5,0.5,0.5,11.05,5.54,0.3,66.39
2,4.77,1,16,0.5,0.5,5.56,10.5,0.3,33.36
1,10.34,1,31.5,0.5,0.5,11.5,5.54,0.3,49.84
1,11.74,1,33.5,0.5,0.5,4,5.54,0.3,44.34
1,19.53,1,52,0,0.5,11.67,5.54,0.3,70.01
1,17.93,1,52,0,0.5,2,5.54,0.3,60.34
2,9.84,1,28,0.5,0.5,8.71,5.54,0.3,43.55
2,8.9,1,25,0.5,0.5,5,5.54,0.3,36.84
1,9.89,1,28,0.5,0.5,8.71,5.54,0.3,43.55
1,16.4,1,52,0,0.5,10,5.54,0.3,68.34
2,10.26,1,30,0.5,0.5,5,5.54,0.3,41.84
